Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,Sensation_seeking,Caffeine,Cannabis,Meth
35-44,0,Professional certificate/ diploma,39.0,36.0,42.0,37.0,42.0,-0.21712,-1.18084,6,0,0
25-34,1,Doctorate degree,29.0,52.0,55.0,48.0,41.0,-0.71126,-0.21575,6,4,3
35-44,1,Professional certificate/ diploma,31.0,45.0,40.0,32.0,34.0,-1.37983,0.40148,6,3,0
18-24,0,Masters degree,34.0,34.0,46.0,47.0,46.0,-1.37983,-1.18084,5,2,0
35-44,0,Doctorate degree,43.0,28.0,43.0,41.0,50.0,-0.21712,-0.21575,6,3,0
65+,0,Left school at 18,29.0,38.0,35.0,55.0,52.0,-1.37983,-1.5485799999999998,6,0,0
45-54,1,Masters degree,31.0,32.0,43.0,41.0,48.0,-0.21712,0.07987000000000001,6,1,0
35-44,1,Left school at 16,24.0,52.0,40.0,41.0,52.0,0.19268,-0.52593,6,0,0
35-44,0,Professional certificate/ diploma,42.0,55.0,39.0,48.0,49.0,-1.37983,-1.5485799999999998,6,0,0
55-64,1,Masters degree,33.0,40.0,36.0,47.0,43.0,-1.37983,-0.8463700000000001,6,1,0
25-34,0,University degree,26.0,45.0,38.0,38.0,53.0,0.19268,0.07987000000000001,6,2,0
45-54,1,College or university dropout,24.0,40.0,47.0,30.0,38.0,0.52975,1.2247,6,4,0
55-64,0,University degree,56.0,41.0,49.0,32.0,36.0,1.29221,0.07987000000000001,6,3,1
55-64,0,Professional certificate/ diploma,28.0,45.0,46.0,49.0,59.0,-0.71126,-0.8463700000000001,5,0,0
55-64,0,Professional certificate/ diploma,27.0,49.0,49.0,39.0,52.0,1.29221,0.7654,6,0,0
55-64,1,University degree,19.0,29.0,35.0,36.0,49.0,-0.71126,-0.52593,6,1,0
35-44,0,College or university dropout,22.0,34.0,34.0,45.0,47.0,-0.21712,-2.07848,6,3,0
45-54,1,Left school at 16,41.0,31.0,44.0,40.0,31.0,-1.37983,-0.8463700000000001,6,6,0
55-64,1,University degree,49.0,39.0,45.0,30.0,30.0,-0.71126,-0.21575,6,3,0
35-44,1,Professional certificate/ diploma,32.0,27.0,29.0,30.0,47.0,-1.37983,-2.07848,6,1,6
45-54,1,Professional certificate/ diploma,28.0,45.0,51.0,53.0,33.0,0.19268,-0.21575,6,2,0
65+,1,Left school before 16,25.0,43.0,38.0,39.0,53.0,-0.21712,-1.18084,6,1,0
45-54,1,University degree,40.0,33.0,40.0,50.0,35.0,-0.71126,0.07987000000000001,5,0,0
45-54,1,Left school at 16,51.0,16.0,37.0,45.0,34.0,-1.37983,-1.5485799999999998,6,2,0
55-64,1,University degree,34.0,44.0,54.0,48.0,51.0,-0.21712,-0.52593,5,1,0
45-54,1,College or university dropout,28.0,37.0,37.0,49.0,42.0,-0.21712,0.40148,6,1,0
55-64,0,Left school at 18,35.0,28.0,24.0,38.0,46.0,0.19268,-1.5485799999999998,6,1,0
35-44,1,University degree,41.0,31.0,46.0,43.0,25.0,1.86203,0.40148,6,6,0
35-44,0,Masters degree,36.0,29.0,41.0,45.0,50.0,0.19268,-0.52593,4,1,0
45-54,1,Doctorate degree,24.0,51.0,52.0,49.0,53.0,-0.21712,-0.52593,6,0,0
45-54,1,Left school at 16,39.0,34.0,37.0,33.0,37.0,-1.37983,0.07987000000000001,6,2,1
35-44,0,Left school at 16,25.0,34.0,47.0,39.0,42.0,-1.37983,-0.8463700000000001,3,0,0
35-44,1,University degree,28.0,31.0,46.0,46.0,42.0,0.19268,-0.8463700000000001,6,3,0
18-24,1,University degree,40.0,38.0,48.0,51.0,41.0,-0.71126,-1.5485799999999998,6,0,0
35-44,1,University degree,46.0,44.0,52.0,23.0,36.0,0.52975,1.92173,5,2,1
65+,1,Left school before 16,33.0,34.0,28.0,41.0,36.0,0.52975,-1.5485799999999998,6,0,0
35-44,1,University degree,33.0,36.0,45.0,43.0,30.0,-0.21712,-0.21575,6,0,0
55-64,1,Left school before 16,39.0,42.0,53.0,44.0,37.0,0.52975,-0.52593,6,3,0
45-54,1,University degree,22.0,48.0,48.0,43.0,47.0,-0.21712,-0.8463700000000001,4,1,0
65+,0,Professional certificate/ diploma,33.0,33.0,38.0,38.0,45.0,-1.37983,-0.21575,6,1,4
35-44,1,Masters degree,36.0,37.0,46.0,29.0,47.0,-0.71126,0.07987000000000001,6,0,0
35-44,0,University degree,44.0,40.0,53.0,54.0,39.0,-0.21712,-0.21575,4,0,0
35-44,1,Masters degree,34.0,33.0,37.0,43.0,37.0,-0.21712,-0.52593,6,2,0
35-44,1,Professional certificate/ diploma,27.0,36.0,44.0,42.0,34.0,-0.21712,-0.21575,6,3,0
25-34,1,University degree,26.0,49.0,49.0,51.0,48.0,-0.21712,0.07987000000000001,6,0,0
25-34,0,University degree,31.0,43.0,54.0,49.0,52.0,-1.37983,-2.07848,6,0,0
45-54,0,College or university dropout,39.0,44.0,38.0,45.0,51.0,-0.71126,-0.8463700000000001,6,1,0
45-54,1,Masters degree,19.0,45.0,48.0,49.0,49.0,-2.55524,-1.18084,6,1,0
45-54,1,Left school at 16,37.0,34.0,44.0,42.0,37.0,0.19268,-0.8463700000000001,6,5,0
25-34,0,Masters degree,44.0,36.0,32.0,37.0,44.0,0.52975,1.2247,6,0,0
35-44,1,Masters degree,46.0,39.0,45.0,35.0,42.0,-0.71126,-0.8463700000000001,6,3,0
45-54,1,Professional certificate/ diploma,47.0,46.0,42.0,37.0,27.0,1.86203,1.92173,6,2,0
55-64,0,University degree,34.0,40.0,36.0,45.0,36.0,0.52975,-1.5485799999999998,6,0,0
45-54,1,Masters degree,23.0,39.0,53.0,45.0,44.0,-0.21712,-0.21575,6,1,0
55-64,1,Left school at 16,36.0,47.0,42.0,36.0,33.0,1.29221,1.2247,6,2,0
55-64,0,Professional certificate/ diploma,36.0,35.0,38.0,40.0,39.0,-1.37983,-2.07848,6,0,0
35-44,0,College or university dropout,36.0,40.0,34.0,43.0,44.0,-1.37983,-1.5485799999999998,6,0,0
25-34,0,University degree,30.0,44.0,32.0,45.0,47.0,-0.71126,-0.52593,6,0,0
45-54,1,Left school at 18,38.0,44.0,46.0,40.0,39.0,1.86203,1.2247,6,5,0
45-54,1,University degree,31.0,31.0,37.0,32.0,41.0,-1.37983,-1.5485799999999998,6,0,0
25-34,0,Doctorate degree,49.0,42.0,48.0,41.0,40.0,-1.37983,0.07987000000000001,6,0,0
45-54,1,Masters degree,18.0,50.0,54.0,44.0,50.0,-1.37983,-1.18084,4,1,0
25-34,1,University degree,30.0,30.0,33.0,34.0,45.0,-1.37983,-1.18084,5,0,0
45-54,1,University degree,46.0,38.0,41.0,39.0,42.0,-1.37983,-1.18084,6,0,0
45-54,1,Doctorate degree,22.0,43.0,53.0,40.0,48.0,-1.37983,-0.52593,6,6,0
35-44,1,College or university dropout,43.0,43.0,40.0,50.0,46.0,0.52975,-0.21575,6,0,0
45-54,1,Left school at 16,26.0,35.0,38.0,51.0,45.0,-0.71126,-1.18084,0,0,0
25-34,1,Masters degree,32.0,38.0,53.0,37.0,41.0,0.88113,-0.21575,6,2,0
35-44,1,Professional certificate/ diploma,27.0,40.0,48.0,42.0,40.0,-0.21712,0.07987000000000001,5,2,0
45-54,0,Left school at 16,35.0,35.0,34.0,45.0,42.0,-1.37983,-0.8463700000000001,1,0,0
25-34,1,College or university dropout,32.0,38.0,47.0,30.0,40.0,0.52975,0.7654,4,2,0
45-54,0,Left school at 18,31.0,47.0,44.0,50.0,43.0,-2.55524,-0.8463700000000001,6,1,0
45-54,1,Left school at 18,22.0,46.0,46.0,46.0,48.0,0.19268,0.40148,6,1,0
45-54,1,Professional certificate/ diploma,29.0,36.0,44.0,45.0,49.0,-0.71126,-0.21575,6,0,0
65+,0,Left school at 16,25.0,27.0,26.0,33.0,44.0,0.52975,-2.07848,6,0,0
25-34,1,University degree,34.0,41.0,35.0,38.0,39.0,0.52975,-0.21575,6,1,0
45-54,0,Left school at 17,32.0,35.0,35.0,46.0,46.0,-2.55524,-2.07848,6,0,0
35-44,1,University degree,37.0,28.0,42.0,35.0,39.0,-0.21712,-2.07848,6,2,0
35-44,1,College or university dropout,28.0,34.0,31.0,32.0,25.0,-2.55524,-1.18084,6,1,0
35-44,1,Professional certificate/ diploma,32.0,34.0,32.0,50.0,37.0,-0.21712,-0.21575,6,0,0
65+,0,Doctorate degree,36.0,42.0,49.0,42.0,51.0,-0.21712,-0.21575,6,1,0
