old,new
-3.46436,12
-3.15735,16
-3.00537,18
-2.90161,23
-2.78793,24
-2.70172,25
-2.5383,26
-2.35413,27
-2.21844,28
-2.07848,29
-1.92595,30
-1.772,31
-1.6209,32
-1.47955,33
-1.34289,34
-1.21213,35
-1.07533,36
-0.91699,37
-0.76096,38
-0.60633,39
-0.45321,40
-0.30172,41
-0.15487,42
-0.01729,43
0.13136,44
0.28783,45
0.43852,46
0.59042,47
0.76096,48
0.94156,49
1.11406,50
1.2861,51
1.45039,52
1.61108,53
1.81866,54
2.03972,55
2.23427,56
2.46262,57
2.75696,58
3.15735,59
3.46436,60
