old,new
-3.46436,17
-3.15735,19
-2.90161,20
-2.72827,21
-2.57309,22
-2.42317,23
-2.30408,24
-2.18109,25
-2.04506,26
-1.92173,27
-1.78169,28
-1.64101,29
-1.5184,30
-1.38502,31
-1.25773,32
-1.13788,33
-1.0145,34
-0.89891,35
-0.78155,36
-0.65253,37
-0.52745,38
-0.40581,39
-0.27607,40
-0.14277,41
-0.00665,42
0.12331,43
0.25953,44
0.41594,45
0.58489,46
0.7583,47
0.93949,48
1.13407,49
1.30612,50
1.46191,51
1.63088,52
1.81175,53
2.04506,54
2.33337,55
2.63199,56
3.00537,57
3.46436,59
