old,new
-3.27393,16
-3.00537,18
-2.72827,19
-2.5383,20
-2.44904,21
-2.32338,22
-2.21069,23
-2.11437,24
-2.03972,25
-1.92173,26
-1.7625,27
-1.6334,28
-1.50796,29
-1.37639,30
-1.23177,31
-1.09207,32
-0.94779,33
-0.80615,34
-0.69509,35
-0.57545,36
-0.43999,37
-0.30033,38
-0.15487,39
0.00332,40
0.16767,41
0.32197,42
0.47617,43
0.63779,44
0.80523,45
0.96248,46
1.11406,47
1.2861,48
1.45421,49
1.58487,50
1.74091,51
1.93886,52
2.127,53
2.32338,54
2.57309,55
2.8595,56
3.00537,58
3.27393,59
